presion_media,presion_min,presion_max,presion_desv,humedad_media,humedad_min,humedad_max,humedad_desv,viento_media,viento_min,viento_max,viento_desv,rafaga_media,rafaga_min,rafaga_max,rafaga_desv,viento_norte,viento_este,direccion_viento,registros_del_dia,anio,dia_del_anio,estacion_anio,mes,sector_viento,temp_max_manana,amplitud_presion,amplitud_humedad,amplitud_viento,velocidad_resultante
999.1456,996.5,1000.87,1.3993,91.086,0.875,94.8,1.765,0.7786,0.05,1.55964121,0.5753,1.3783,0.25,2.25557673,0.8488,-0.3618,-0.0223,183.5308,143.0,2009.0,1.0,invierno,enero,S,-2.12,4.3700000000000045,93.925,1.5096412099999998,0.36248659285551516
999.6006,997.93,1002.65,1.5039,92.0868,86.6,96.3,2.7588,1.4195,0.22,3.87,0.9168,2.2274,0.63,6.13,1.2544,0.4267,0.3689,40.8436,144.0,2009.0,2.0,invierno,julio,NE,-0.82,4.720000000000027,9.700000000000003,3.65,0.564056823378638
998.5486,993.05,1002.49,3.1304,76.4581,48.39,93.9,15.1796,1.2509,0.12,3.64,0.7299,2.0651,0.38,4.88,0.933,-0.6993,-0.5268,216.9916,144.0,2009.0,3.0,invierno,enero,SO,-0.63,9.440000000000055,45.510000000000005,3.52,0.8755219757379024
988.5107,985.12,992.93,2.3223,89.4174,97.94670350485464,,4.4904,1.7204,0.54,2.45441545,0.7023,3.5649,1.38,4.43037523,1.1835,-1.1268,-1.0413,222.7419,144.0,2009.0,4.0,invierno,enero,SO,-1.44,7.809999999999945,,1.91441545,1.5342698361109757
990.4057,,997.54,4.2315,86.2604,74.6,93.2,5.3922,3.8003,1.0,7.81,1.9521,5.94,2.13,10.88,,2.6275,0.2874,6.2418,,2009.0,5.0,,enero,N,-10.88,,18.60000000000001,6.81,2.6431713924753346
993.5064,991.5,998.41,1.8001,85.6597,80.8,93.4,3.1011,0.7225,0.08,1.13710893,0.3202,1.4833,,2.33014125,0.5552,-0.5664,0.1691,163.3723,144.0,2009.0,7.0,invierno,enero,S,-4.06,6.909999999999968,12.600000000000009,1.0571089299999998,0.5911038572027763
1002.9697,,1004.61,1.5812,87.5826,75.1,92.5,5.2771,0.8702,0.06,2.94,0.6658,1.4436,0.25,4.13,0.87,-0.7479,0.0034,179.7388,144.0,2009.0,8.0,,mayo,S,-3.61,,17.400000000000006,2.88,0.747907728265994
1003.1133,1002.04,1003.87,0.474,83.9762,0.928437207287439,59.98,9.0218,0.6638,0.19,1.61,0.3116,1.2378,0.5,2.5,0.447,-0.5115,0.0161,178.1928,144.0,2009.0,9.0,invierno,enero,S,-2.24,1.830000000000041,59.05156279271256,1.4200000000000002,0.5117533194811734
1002.9676,1002.08,1003.99,0.6683,82.3408,59.67,93.0,10.8955,0.6665,,2.14,0.3778,1.3066,0.38,3.88,0.5674,-0.5302,0.0725,172.208,144.0,2009.0,10.0,,,S,-0.13,1.9099999999999682,33.33,,0.5351338991317968
1004.0075,1002.56,,0.6769,83.4093,58.23,93.2,10.4141,1.235,0.12,2.42956061,0.8149,2.2899,0.5,3.4175405,1.2194,-1.0837,0.115,173.944,144.0,2009.0,11.0,invierno,enero,S,2.32,,34.970000000000006,2.3095606099999997,1.089784698919929
998.4947,993.68,1003.34,2.9773,72.4442,50.8,88.5,12.4534,2.4599,1.12,3.85,0.5952,3.6968,2.25,5.5,0.7597,-2.3036,-0.4289,190.5456,144.0,2009.0,12.0,verano,junio,S,4.9,9.660000000000082,37.7,2.73,2.3431876087927743
990.1472,988.02,993.54,1.4712,61.7875,42.38,75.8,9.3221,2.4801,0.47,4.4,0.8583,3.7881,1.13,6.25,1.046,-2.3479,-0.2096,185.1016,144.0,2009.0,13.0,invierno,enero,S,0.43,5.519999999999982,33.419999999999995,3.9300000000000006,2.3572370627495234
987.5876,986.43,990.18,0.9993,80.6224,59.08,91.7,9.3468,0.8526,0.12,3.05,0.5681,1.6855,0.5,4.75,0.8747,-0.6576,0.0412,176.4107,144.0,2009.0,14.0,,enero,S,4.52,3.75,32.620000000000005,2.9299999999999997,0.658889368558941
994.1072,990.2,997.54,2.0477,91.1028,0.73,97.6,5.647,0.6442,0.06,1.19924603,0.3849,1.261,0.5,2.01945575,0.5522,-0.3029,0.1424,154.8295,144.0,2009.0,15.0,,septiembre,SE,1.17,7.339999999999918,96.86999999999999,1.13924603,0.3347031072458097
992.1331,988.23,995.15,2.0551,87.7028,82.5,93.8,2.8481,,2.0160000000000005,14.148,81.77,3.3924,1.0,6.0,-54.50000000000001,-2.0065,0.0543,178.4501,144.0,2009.0,,verano,abril,S,5.31,6.919999999999959,11.299999999999997,12.132,2.007234600140203
979.1435,972.33,988.11,5.3253,82.7548,67.98,94.3,7.0427,10.70604,,,1.6974,4.623,0.75,10.75,2.4464,-2.6939,-0.8217,196.9619,144.0,2009.0,18.0,verano,septiembre,,4.27,15.779999999999973,26.319999999999993,,2.816431802831377
972.7938,965.94,980.02,5.5264,79.5069,69.0,88.6,4.8139,3.3216,0.27,4.95854058,1.9596,5.0651,0.63,,2.8144,-3.1466,-0.3015,185.4729,144.0,2009.0,19.0,invierno,enero,S,6.8,14.079999999999927,19.599999999999994,4.68854058,3.161011516904043
971.3083,965.27,977.35,3.7879,79.5139,71.6,95.2,6.8664,2.0826,0.13,4.16939941,1.4944,3.2169,0.5,6.605173730000001,2.2039,-1.7052,-0.998,210.3379,144.0,2009.0,20.0,invierno,noviembre,SO,1.3,12.080000000000041,23.60000000000001,4.03939941,1.9757811214808183
980.2045,977.43,983.42,1.7664,92.7806,0.845,97.0,4.0448,0.6531,0.1,1.87,0.326,1.211,0.38,2.75,0.4502,-0.5049,-0.0119,181.3462,144.0,2009.0,21.0,,enero,S,3.05,5.990000000000009,96.155,1.77,0.5050402162204511
978.4114999999999,971.48,983.54,3.9853,86.7311,69.11,97.6,9.7926,10.09692,1.4400000000000002,26.532,178.43,4.2533,0.88,10.13,-122.65,-2.7229,-0.1899,183.9897,144.0,2009.0,22.0,verano,octubre,S,5.77,12.059999999999945,28.489999999999995,25.092,2.7295139530693007
955.5102,944.58,971.4,8.8742,78.0708,58.67,91.1,7.2499,5.1039,,,1.9491,7.7377,3.25,9.0098795,2.9064,-4.882,-0.4137,184.8438,144.0,2009.0,23.0,invierno,enero,S,5.41,26.819999999999936,32.42999999999999,,4.899497085416012
961.1252,952.33,970.98,,74.6343,0.9454454858932804,55.83,10.7749,,0.06,8.04,1.9681,4.6603,0.38,11.0,2.8308,-2.1991,-1.7205,218.0386,144.0,2009.0,24.0,invierno,enero,SO,6.31,18.649999999999977,54.88455451410672,7.9799999999999995,2.7921606436593147
977.231,975.0,980.89,1.7438,96.5639,95.2,97.5,0.5982,1.4099,0.04,2.10644769,0.9215,2.1535,0.38,2.72160498,1.1234,1.0684,0.367,18.9574,144.0,,26.0,verano,septiembre,N,-1.04,5.889999999999986,2.299999999999997,2.06644769,1.129675865016156
